date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:57:55	2027293/2027293	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Jul%202022%2002:51:27%20GMT	https://sman1guntur.sch.id/img/belajar.jpg	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/belajar.jpg	(from https://sman1guntur.sch.id/)
20:57:56	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Dec%202024%2014:04:10%20GMT	https://sman1guntur.sch.id/.	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/	(from https://sman1guntur.sch.id/?p=struktur)
20:57:56	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Dec%202024%2014:04:10%20GMT	https://sman1guntur.sch.id/.	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/	(from https://sman1guntur.sch.id/?p=peta)
20:57:56	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Dec%202024%2014:04:11%20GMT	https://sman1guntur.sch.id/.	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/	(from https://sman1guntur.sch.id/?p=mpls_24)
20:57:58	7274496/7274496	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202023%2002:50:19%20GMT	https://sman1guntur.sch.id/img/pkwu/pkwu01.JPG	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/pkwu/pkwu01.jpg	(from https://sman1guntur.sch.id/)
20:57:58	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Dec%202024%2014:04:12%20GMT	https://sman1guntur.sch.id/.	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/	(from https://sman1guntur.sch.id/?p=pkwu)
20:57:59	155516/155516	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202023%2002:50:01%20GMT	https://sman1guntur.sch.id/img/pkwu/pkwu03.jpeg	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/pkwu/pkwu03.jpg	(from https://sman1guntur.sch.id/?p=pkwu)
20:58:00	160665/160665	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202023%2002:50:02%20GMT	https://sman1guntur.sch.id/img/pkwu/pkwu04.jpeg	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/pkwu/pkwu04.jpg	(from https://sman1guntur.sch.id/?p=pkwu)
20:58:03	704960/704960	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202023%2003:17:01%20GMT	https://sman1guntur.sch.id/img/pkwu/pkwu_col.jpg	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/pkwu/pkwu_col.jpg	(from https://sman1guntur.sch.id/?p=pkwu)
20:58:03	1461259/1461259	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Jul%202022%2006:15:55%20GMT	https://sman1guntur.sch.id/img/struktur.jpg	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/struktur.jpg	(from https://sman1guntur.sch.id/?p=struktur)
20:58:05	159590/159590	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202023%2003:14:19%20GMT	https://sman1guntur.sch.id/img/pkwu/pkwu07.jpeg	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/pkwu/pkwu07.jpg	(from https://sman1guntur.sch.id/?p=pkwu)
20:58:06	138446/138446	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202023%2003:14:19%20GMT	https://sman1guntur.sch.id/img/pkwu/pkwu08.jpeg	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/pkwu/pkwu08.jpg	(from https://sman1guntur.sch.id/?p=pkwu)
20:58:07	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Dec%202024%2014:04:21%20GMT	https://sman1guntur.sch.id/.	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/	(from https://sman1guntur.sch.id/?p=pkks)
20:58:07	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Dec%202024%2014:04:22%20GMT	https://sman1guntur.sch.id/.	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/	(from https://sman1guntur.sch.id/?p=project)
20:58:22	1532023/1532023	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Sep%202022%2005:58:09%20GMT	https://sman1guntur.sch.id/img/project_02.jpg	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/project_02.jpg	(from https://sman1guntur.sch.id/?p=project)
20:58:22	6782976/6782976	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202023%2002:50:19%20GMT	https://sman1guntur.sch.id/img/pkwu/pkwu05.JPG	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/pkwu/pkwu05.jpg	(from https://sman1guntur.sch.id/?p=pkwu)
20:58:22	5701632/5701632	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202023%2002:50:17%20GMT	https://sman1guntur.sch.id/img/pkwu/pkwu06.JPG	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/pkwu/pkwu06.jpg	(from https://sman1guntur.sch.id/?p=pkwu)
20:58:22	6881280/6881280	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202023%2002:50:19%20GMT	https://sman1guntur.sch.id/img/pkwu/pkwu02.JPG	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/pkwu/pkwu02.jpg	(from https://sman1guntur.sch.id/?p=pkwu)
20:58:22	94087/94087	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Sep%202022%2005:58:09%20GMT	https://sman1guntur.sch.id/img/project_03.jpeg	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/project_03.jpg	(from https://sman1guntur.sch.id/?p=project)
20:58:22	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2008%20Dec%202024%2014:04:37%20GMT	https://sman1guntur.sch.id/.	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/.1e.delayed	(from https://sman1guntur.sch.id/?p=iht)
20:58:23	90019/90019	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Sep%202022%2001:26:09%20GMT	https://sman1guntur.sch.id/img/iht2.jpeg	C:/Rebranding%20web%20sekolah/sman1guntur.sch.id/img/iht2.jpg	(from https://sman1guntur.sch.id/?p=iht)
